state,state_abbr,fips_state,poverty_rate,median_household_income,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct,grocery_cost_index,benefits_may_2025,participants_may_2025,trifecta_2024,usda_snap_region,benefits_per_person,minimum_wage,min_wage_tier,RUCC,rural_urban_category,population,participants_per_1000,snap_policy_class
Alabama,AL,1,0.152,66659,0.6401166489165032,0.25245889688405626,0.004959963735766667,0.01543110600289005,0.0011189098084242604,0.0609857225092042,61.563,142142795.0,736178.0,Republican,Southeast,193.08210106794823,7.25,low,4,mixed,5157699.0,142.73380435733065,High
Alaska,AK,2,0.102,95665,0.5870836727993483,0.025060360772996206,0.1405463612620975,0.059552810103049046,0.01708882052279793,0.1496906637050368,96.643,24181479.0,66377.0,Republican,Western,364.3050906187384,11.91,medium,9,rural,740133.0,89.68253003176456,Low
Arizona,AZ,4,0.11699999999999999,81486,0.5731275282285888,0.04759294702035666,0.040175359095503474,0.03992622900660267,0.0017961369405717251,0.20401815576736815,108.58,161705602.0,887253.0,Divided,Southwest,182.25421835710895,14.7,high,3,urban,7582384.0,117.01504434489206,Moderate
Arkansas,AR,5,0.155,62106,0.6818985129295411,0.14175997958783224,0.005490303248915118,0.017868417933954463,0.0038065584450487217,0.11789516357256973,56.669,41434391.0,239748.0,Republican,Southwest,172.82476183325826,11.0,medium,7,rural,3088354.0,77.62970177641553,Low
California,CA,6,0.11800000000000001,100149,0.38075840989419996,0.05352912484695203,0.01422353628388723,0.16102892773178482,0.0039515853194963604,0.19799829896394644,157.839,1045310679.0,5494318.0,Democratic,Western,190.2530357725927,16.5,high,2,urban,39431263.0,139.3391330123004,High
Colorado,CO,8,0.096,97113,0.693598852134807,0.042512338241549215,0.011734296333324045,0.03483444548999966,0.0016617725506731522,0.15242818540815986,130.532,120493408.0,614843.0,Democratic,Mountain Plains,195.97426985425548,14.81,high,7,rural,5957494.0,103.20497175490232,Moderate
Connecticut,CT,9,0.102,96049,0.6369798771125114,0.10757838832413759,0.0040954333102317265,0.04803556069287407,0.00032244292556139764,0.12300939111619401,116.815,70118853.0,363524.0,Democratic,Northeast,192.88644766232767,16.35,high,2,urban,3675069.0,98.91623803525866,Moderate
Delaware,DE,10,0.096,87534,0.5816580585730623,0.2203928636955197,0.00399461174218118,0.048310845817683336,0.0009582505083575985,0.09077997598669857,98.942,21340950.0,118209.0,Democratic,Mid-Atlantic,180.5357460091871,15.0,high,3,urban,1051917.0,112.37483565718588,Moderate
District of Columbia,DC,11,0.17300000000000001,109707,0.3756454254182983,0.41315201139195445,0.006339622641509434,0.04954930580277679,0.00017942328230687078,0.0982185831256675,168.539,26658037.0,140659.0,,Mid-Atlantic,189.5224407965363,17.5,high,1,urban,702250.0,200.29761480954076,High
Florida,FL,12,0.12,77735,0.5418233145638957,0.14769182125014682,0.004288639309539126,0.03091799386579321,0.0008616213739262625,0.20550790757315898,123.063,535551777.0,2943012.0,Republican,Southeast,181.97403782247574,13.0,medium,2,urban,23372215.0,125.91925925719922,High
